Name,Google Trends,Wikipedia
Adobe Acrobat,Adobe Acrobat,Adobe Acrobat
Evince,Evince,Evince
Foxit Reader,Foxit Reader,Foxit Reader
Ghostview,Ghostscript,Ghostscript
Inkscape,Inkscape,Inkscape
LibreOffice,LibreOffice,LibreOffice
Sumatra PDF,Sumatra PDF,Sumatra PDF
Xpdf,Xpdf,Xpdf
