Name,Google Trends,Wikipedia,Sourceforge
Aperture,Aperture,Aperture (software),
Gonvisor,Gonvisor,Gonvisor,
Gwenview,Gwenview,Gwenview,
FastPictureViewer,FastPictureViewer,FastPictureViewer,
Fspot,F-Spot,F-Spot,
gThumb,gThumb,gThumb,
JPEGView,JPEGView,JPEGView,https://sourceforge.net/projects/jpegview/
iPhoto,iPhoto,iPhoto,
KSquirrel,KSquirrel,KSquirrel,
Picasa,Picasa,Picasa,
STDU,STDU Viewer,STDU Viewer,
Xlideit,Xlideit,,
