Name,Google Trends,Wikipedia
Apache Derby,Apache Derby,Apache Derby
DB2,IBM DB2,IBM DB2
LucidDB,LucidDB,LucidDB
Microsoft Access,Microsoft Access,Microsoft Access
MonetDB,MonetDB,MonetDB
MySQL,MySQL,MySQL
Paradox Database,Paradox Database,Paradox (database)
PostgreSQL,PostgreSQL,PostgreSQL
solidDB,solidDB,solidDB
Superbase,Superbase,Superbase (database)
Tibero,Tibero,Tibero
