,MPEG 1,H263,H264,H265,RealVideo,Theora,VP3,VP6
MPEG 1,1,0.8,0.7,0.6,0.5,0.9,0.5,0.5
H263,0.8,1,0.9,0.8,0.5,0.9,0.5,0.5
H264,0.7,0.9,1,0.9,0.5,0.8,0.5,0.5
H265,0.6,0.8,0.9,1,0.5,0.7,0.5,0.5
RealVideo,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Theora,0.9,0.9,0.8,0.7,0.5,1,0.5,0.5
VP3,0.5,0.5,0.5,0.5,0.5,0.5,1,0.9
VP6,0.5,0.5,0.5,0.5,0.5,0.5,0.9,1
