Name,Google Trends,Wikipedia
MPEG 1,MPEG-1,MPEG-1
H263,MPEG-4 Part 2,MPEG-4 Part 2
H264,H.264/MPEG-4 AVC,H.264/MPEG-4 AVC
H265,High Efficiency Video Coding,High Efficiency Video Coding
RealVideo,RealVideo,RealVideo
Theora,Theora,Theora
VP3,VP3,VP3
VP6,VP6,VP6
