,AVI,ASF,QuickTime,Ogg,Matroska,MPEG 4 Part 14,Flash Video,MXF
AVI,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8
ASF,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8
QuickTime,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8
Ogg,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8
Matroska,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8
MPEG 4 Part 14,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8
Flash Video,0.8,0.8,0.8,0.8,0.8,0.8,1,0.8
MXF,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1
