,Atari TT030,Compaq Pro Server,IBM 300GL,Dell Optiplex GX1,Dell Dimension 4800,Acer AG3710
Atari TT030,1,0.95,0.9,0.85,0.8,0.75
Compaq Pro Server,0.5,1,0.95,0.9,0.85,0.8
IBM 300GL,0.4,0.4,1,0.95,0.9,0.85
Dell Optiplex GX1,0.3,0.3,0.4,1,0.95,0.9
Dell Dimension 4800,0.2,0.2,0.3,0.4,1,0.95
Acer AG3710,0.1,0.1,0.2,0.3,0.4,1
