Name,Google Trends,Wikipedia
Atari TT030,Motorola 68000,Motorola 68000
Compaq Pro Server,Pentium Pro,Pentium Pro
IBM 300GL,Pentium II,Pentium II
Dell Optiplex GX1,Pentium III,Pentium III
Dell Dimension 4800,Pentium 4,Pentium 4
Acer AG3710,Core i3,Core i3
